id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
784;20/02/2003;30/09/2004;func_177;cat_2;cat_08;cat_388;cat_2;cat_01;cat_4;cat_2;0.16;1;0.33;0.1412771;0.64440201
1129;6/02/2004;6/02/2004;func_041;cat_4;cat_04;cat_426;cat_2;cat_01;cat_1;cat_2;0.16;1;0.58;0.1802065;0.111646763
1129;6/02/2004;6/02/2004;func_112;cat_4;cat_04;cat_415;cat_2;cat_01;cat_1;cat_2;0.12;1;0.5;0.1586359;0.055285025
1129;6/02/2004;6/02/2004;func_197;cat_4;cat_04;cat_415;cat_2;cat_01;cat_1;cat_3;0.08;1;0.42;0.144581;0.111409363
236;15/05/2004;17/05/2004;func_112;cat_4;cat_02;cat_157;cat_2;cat_01;cat_1;cat_3;0.08;1;0.5;0.1674268;0.126286955
839;17/10/2004;17/10/2004;func_014;cat_7;cat_04;cat_203;cat_1;cat_01;cat_1;cat_3;0.16;1;0.58;0.2177471;0.079312592
839;17/05/2004;6/06/2004;func_180;cat_7;cat_04;cat_203;cat_1;cat_01;cat_1;cat_3;0.08;1;0.5;0.1830065;0.134470711
926;13/08/2004;15/06/2005;func_177;cat_2;cat_07;cat_439;cat_2;cat_01;cat_4;cat_2;0;1;0.33;0.1568627;0.35704627
951;23/07/2005;21/11/2005;func_175;cat_3;cat_15;cat_044;cat_1;cat_01;cat_5;cat_3;0;1;0.33;0.2009804;0.194453277
260;10/03/2005;22/08/2005;func_038;cat_3;cat_05;cat_468;cat_2;cat_01;cat_1;cat_3;0.04;1;0.42;0.144581;0.226412105
260;26/10/2004;10/03/2005;func_039;cat_3;cat_05;cat_468;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1326542;0.204643801
